"","V1"
"1","Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos"
"304","08 Castilla - La Mancha;1995M10;1.469"
"305","08 Castilla - La Mancha;1995M09;1.367"
"306","08 Castilla - La Mancha;1995M08;1.519"
"307","08 Castilla - La Mancha;1995M07;1.583"
"308","08 Castilla - La Mancha;1995M06;1.583"
"309","08 Castilla - La Mancha;1995M05;1.532"
"310","08 Castilla - La Mancha;1995M04;1.495"
"311","08 Castilla - La Mancha;1995M03;1.400"
"312","08 Castilla - La Mancha;1995M02;1.276"
"313","08 Castilla - La Mancha;1995M01;1.406"
"314","08 Castilla - La Mancha;1994M12;1.399"
"315","08 Castilla - La Mancha;1994M11;1.347"
"316","08 Castilla - La Mancha;1994M10;1.418"
"317","08 Castilla - La Mancha;1994M09;1.492"
"318","08 Castilla - La Mancha;1994M08;1.557"
"319","08 Castilla - La Mancha;1994M07;1.630"
"320","08 Castilla - La Mancha;1994M06;1.582"
"321","08 Castilla - La Mancha;1994M05;1.507"
"322","08 Castilla - La Mancha;1994M04;1.481"
"323","08 Castilla - La Mancha;1994M03;1.612"
"324","08 Castilla - La Mancha;1994M02;1.291"
"325","08 Castilla - La Mancha;1994M01;1.394"
"326","08 Castilla - La Mancha;1993M12;1.390"
"327","08 Castilla - La Mancha;1993M11;1.376"
"328","08 Castilla - La Mancha;1993M10;1.456"
"329","08 Castilla - La Mancha;1993M09;1.515"
"330","08 Castilla - La Mancha;1993M08;1.635"
"331","08 Castilla - La Mancha;1993M07;1.628"
"332","08 Castilla - La Mancha;1993M06;1.519"
"333","08 Castilla - La Mancha;1993M05;1.602"
"334","08 Castilla - La Mancha;1993M04;1.595"
"335","08 Castilla - La Mancha;1993M03;1.573"
"336","08 Castilla - La Mancha;1993M02;1.344"
"337","08 Castilla - La Mancha;1993M01;1.463"
"338","08 Castilla - La Mancha;1992M12;1.540"
"339","08 Castilla - La Mancha;1992M11;1.417"
"340","08 Castilla - La Mancha;1992M10;1.595"
"341","08 Castilla - La Mancha;1992M09;1.578"
"342","08 Castilla - La Mancha;1992M08;1.684"
"343","08 Castilla - La Mancha;1992M07;1.722"
"344","08 Castilla - La Mancha;1992M06;1.636"
"345","08 Castilla - La Mancha;1992M05;1.609"
"346","08 Castilla - La Mancha;1992M04;1.592"
"347","08 Castilla - La Mancha;1992M03;1.538"
"348","08 Castilla - La Mancha;1992M02;1.470"
"349","08 Castilla - La Mancha;1992M01;1.442"
"350","08 Castilla - La Mancha;1991M12;1.516"
"351","08 Castilla - La Mancha;1991M11;1.404"
"352","08 Castilla - La Mancha;1991M10;1.529"
"353","08 Castilla - La Mancha;1991M09;1.602"
"354","08 Castilla - La Mancha;1991M08;1.567"
"355","08 Castilla - La Mancha;1991M07;1.675"
"356","08 Castilla - La Mancha;1991M06;1.609"
"357","08 Castilla - La Mancha;1991M05;1.572"
"358","08 Castilla - La Mancha;1991M04;1.645"
"359","08 Castilla - La Mancha;1991M03;1.636"
"360","08 Castilla - La Mancha;1991M02;1.465"
"361","08 Castilla - La Mancha;1991M01;1.513"
"362","08 Castilla - La Mancha;1990M12;1.536"
"363","08 Castilla - La Mancha;1990M11;1.597"
"364","08 Castilla - La Mancha;1990M10;1.514"
"365","08 Castilla - La Mancha;1990M09;1.581"
"366","08 Castilla - La Mancha;1990M08;1.626"
"367","08 Castilla - La Mancha;1990M07;1.789"
"368","08 Castilla - La Mancha;1990M06;1.655"
"369","08 Castilla - La Mancha;1990M05;1.677"
"370","08 Castilla - La Mancha;1990M04;1.578"
"371","08 Castilla - La Mancha;1990M03;1.586"
"372","08 Castilla - La Mancha;1990M02;1.454"
"373","08 Castilla - La Mancha;1990M01;1.534"
"374","08 Castilla - La Mancha;1989M12;1.495"
"375","08 Castilla - La Mancha;1989M11;1.653"
"376","08 Castilla - La Mancha;1989M10;1.581"
"377","08 Castilla - La Mancha;1989M09;1.636"
"378","08 Castilla - La Mancha;1989M08;1.676"
"379","08 Castilla - La Mancha;1989M07;1.813"
"380","08 Castilla - La Mancha;1989M06;1.732"
"381","08 Castilla - La Mancha;1989M05;1.766"
"382","08 Castilla - La Mancha;1989M04;1.633"
"383","08 Castilla - La Mancha;1989M03;1.675"
"384","08 Castilla - La Mancha;1989M02;1.417"
"385","08 Castilla - La Mancha;1989M01;1.504"
"386","08 Castilla - La Mancha;1988M12;1.502"
"387","08 Castilla - La Mancha;1988M11;1.483"
"388","08 Castilla - La Mancha;1988M10;1.613"
"389","08 Castilla - La Mancha;1988M09;1.660"
"390","08 Castilla - La Mancha;1988M08;1.735"
"391","08 Castilla - La Mancha;1988M07;1.733"
